iterations,policies
12000,[2. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
12500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
13000,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
13500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 2. 0. 0. 2. 1. 0.]
14000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
14500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
15000,[2. 3. 3. 3. 0. 0. 3. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
15500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
16000,[2. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
16500,[0. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
17000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
17500,[0. 3. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
18000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
18500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
19000,[2. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
19500,[0. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
20000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
20500,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
21000,[2. 3. 3. 1. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
21500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
22000,[1. 3. 0. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
22500,[1. 3. 0. 3. 0. 0. 2. 0. 1. 1. 0. 0. 0. 2. 1. 0.]
23000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
23500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 3. 1. 0.]
25000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
25500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
27000,[3. 3. 3. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
27500,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
28000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
29000,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
29500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
30000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
30500,[2. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31500,[0. 3. 2. 3. 0. 0. 3. 0. 1. 1. 0. 0. 0. 2. 1. 0.]
32000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
32500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
33000,[1. 3. 1. 3. 0. 0. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0.]
33500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
34000,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
34500,[2. 3. 0. 3. 0. 0. 2. 0. 2. 1. 0. 0. 0. 2. 1. 0.]
35000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
35500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
36000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
36500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
37000,[2. 3. 3. 3. 0. 0. 3. 0. 3. 1. 0. 0. 0. 2. 3. 0.]
37500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38500,[1. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 0. 0.]
39000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
39500,[1. 3. 3. 3. 0. 0. 0. 0. 2. 1. 1. 0. 0. 2. 1. 0.]
40000,[1. 3. 3. 3. 0. 0. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0.]
40500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
41000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
41500,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
41662,[2. 3. 0. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
