iterations,policies
22000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
22500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
23000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
23500,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24000,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
24500,[0. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
25000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
25500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26000,[3. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
26500,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
27000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 2. 1. 0. 0. 2. 1. 0.]
27500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28000,[0. 3. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
28500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
29000,[0. 3. 1. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
29500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
30000,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
30500,[0. 3. 0. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
31500,[2. 1. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
32000,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
32500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
33000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 2. 0. 0. 0. 2. 1. 0.]
33500,[0. 3. 1. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
34000,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 2. 0. 0. 2. 1. 0.]
34500,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
35000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 2. 1. 0. 0. 2. 1. 0.]
35500,[0. 3. 3. 3. 0. 0. 1. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
36000,[3. 3. 0. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 2. 1. 0.]
36500,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
37000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
37500,[2. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38000,[0. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
38500,[0. 3. 1. 3. 0. 0. 0. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
39000,[2. 3. 3. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
39500,[0. 1. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
40000,[0. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
40003,[0. 3. 2. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
