iterations,values
8000,[0.53560625 0.37205577 0.40965253 0.35912154 0.4968248  0. 0.04433302 0.         0.43195912 0.67104145 0.62906506 0. 0.         0.66780976 0.96618397 0.        ]
8500,[0.49426897 0.43161449 0.4341706  0.40064404 0.49753457 0. 0.05916869 0.         0.4847326  0.66624841 0.87111928 0. 0.         0.87164534 0.89088094 0.        ]
9000,[0.56385202 0.34601907 0.32865231 0.34247025 0.60500511 0. 0.00554673 0.         0.6374297  0.62451457 0.58856833 0. 0.         0.6595831  0.83129805 0.        ]
9500,[0.47987152 0.43342716 0.44442741 0.19467112 0.56317693 0. 0.64302916 0.         0.56509279 0.58975925 0.57790002 0. 0.         0.91662507 0.65063878 0.        ]
10000,[0.35393351 0.33812611 0.75481151 0.29761079 0.39135966 0. 0.84683848 0.         0.46165807 0.83304382 0.9433533  0. 0.         0.84692608 0.90204485 0.        ]
10500,[0.16048094 0.15414556 0.17661419 0.17973871 0.23705832 0. 0.16263173 0.         0.23841758 0.67487043 0.81321138 0. 0.         0.80143704 0.78014267 0.        ]
11000,[0.44072201 0.51072487 0.60576892 0.54043819 0.43704414 0. 0.07231096 0.         0.66321436 0.70620413 0.72059686 0. 0.         0.91994235 0.88589486 0.        ]
11500,[0.38785986 0.61750939 0.3571251  0.33724299 0.5635192  0. 0.76274547 0.         0.73861139 0.86323297 0.84986229 0. 0.         0.71241473 0.98967646 0.        ]
12000,[0.54428291 0.36866326 0.38319684 0.26903342 0.55707989 0. 0.03252848 0.         0.54123462 0.71895409 0.83243415 0. 0.         0.81753416 0.98992213 0.        ]
12500,[0.29713742 0.2134792  0.20515779 0.23737106 0.41655198 0. 0.00429306 0.         0.35682065 0.37690733 0.38592885 0. 0.         0.57101709 0.6489282  0.        ]
13000,[0.47870364 0.28743796 0.54596454 0.37757013 0.50286842 0. 0.06500663 0.         0.5622781  0.59929846 0.56883581 0. 0.         0.80717618 0.98811662 0.        ]
13500,[0.38499148 0.37669807 0.36236173 0.3526353  0.5521923  0. 0.43809235 0.         0.67896171 0.72385246 0.5530433  0. 0.         0.77086762 0.99454472 0.        ]
14000,[0.46379199 0.30353815 0.32013123 0.29568475 0.54316876 0. 0.86249096 0.         0.54996668 0.68370122 0.82988865 0. 0.         0.83078276 0.9378232  0.        ]
14500,[0.39988236 0.30542376 0.29199    0.23187828 0.41928295 0. 0.56471758 0.         0.49194859 0.63684381 0.61284564 0. 0.         0.59711288 0.76636666 0.        ]
15000,[0.36580199 0.36102154 0.47977046 0.50760401 0.36740082 0. 0.49466972 0.         0.53994659 0.64625586 0.49165865 0. 0.         0.74086317 0.9677926  0.        ]
15500,[0.32159312 0.30154661 0.22790893 0.24747702 0.34139047 0. 0.02493238 0.         0.39201447 0.49788434 0.29377657 0. 0.         0.49436479 0.74740649 0.        ]
16000,[0.41914113 0.64626288 0.63402227 0.56473727 0.52244176 0. 0.54643373 0.         0.60625864 0.61421324 0.91906284 0. 0.         0.78951819 0.96713002 0.        ]
16500,[0.51382492 0.47171993 0.4578585  0.40745588 0.5661512  0. 0.54890078 0.         0.60316867 0.63353505 0.82824878 0. 0.         0.56522254 0.86982261 0.        ]
17000,[0.64610917 0.4352842  0.43704233 0.48078464 0.64604993 0. 0.50605976 0.         0.7285603  0.87770585 0.86271672 0. 0.         0.93782984 0.94409116 0.        ]
17500,[0.39397072 0.40416111 0.71648482 0.41690064 0.42880691 0. 0.53838959 0.         0.6127013  0.60136238 0.76532489 0. 0.         0.78084518 0.9896988  0.        ]
18000,[0.39709274 0.5164261  0.63668576 0.44189816 0.39324596 0. 0.5022733  0.         0.44117006 0.45773723 0.4934395  0. 0.         0.87932424 0.99890282 0.        ]
18500,[0.57531872 0.2540295  0.54018659 0.27413235 0.72928328 0. 0.85862785 0.         0.7711624  0.81098326 0.94049428 0. 0.         0.9070966  0.99984851 0.        ]
19000,[0.6064324  0.58835023 0.53696855 0.4138703  0.65155173 0. 0.07097634 0.         0.67421107 0.78807305 0.70223599 0. 0.         0.77613064 0.98959789 0.        ]
19500,[0.32894906 0.32146777 0.32263055 0.36626589 0.37864996 0. 0.02844405 0.         0.40371438 0.62009937 0.80296795 0. 0.         0.84184525 0.98399363 0.        ]
20000,[0.46248727 0.31462515 0.31521961 0.28460365 0.48127414 0. 0.34654387 0.         0.66055833 0.71939591 0.91578166 0. 0.         0.91440581 0.99789592 0.        ]
20500,[0.41088817 0.42761794 0.26592824 0.2558436  0.41675387 0. 0.24881262 0.         0.48220357 0.59503891 0.63269034 0. 0.         0.5995313  0.97006623 0.        ]
21000,[0.42049534 0.31458613 0.29936973 0.32194387 0.40466818 0. 0.03022044 0.         0.46054339 0.63695811 0.56776219 0. 0.         0.61575034 0.71548023 0.        ]
21500,[0.4240132  0.65890337 0.63700541 0.46906283 0.44525664 0. 0.6946612  0.         0.51263722 0.71828153 0.92154339 0. 0.         0.3137583  0.98923842 0.        ]
22000,[0.3954378  0.38019027 0.59841899 0.43406085 0.41864581 0. 0.5524171  0.         0.4167056  0.52414108 0.76671439 0. 0.         0.64070242 0.9831039  0.        ]
22500,[0.37513119 0.41172491 0.31397047 0.3070869  0.42385563 0. 0.33963949 0.         0.42556228 0.60303001 0.8309416  0. 0.         0.78363028 0.8852714  0.        ]
23000,[0.4904372  0.41348884 0.50127548 0.28932363 0.53114318 0. 0.60208021 0.         0.5481242  0.59629287 0.73687556 0. 0.         0.82078641 0.95719371 0.        ]
23500,[0.38997933 0.39213498 0.43088788 0.43630174 0.37189228 0. 0.79655062 0.         0.74190599 0.89022324 0.77937057 0. 0.         0.79047104 0.99978703 0.        ]
24000,[0.39371301 0.31897641 0.15792995 0.14194194 0.41590826 0. 0.01902406 0.         0.55471998 0.56291227 0.65992296 0. 0.         0.74347541 0.86170735 0.        ]
24500,[0.4087067  0.42626257 0.49108046 0.47835006 0.37737098 0. 0.71413188 0.         0.54895518 0.70518219 0.62567892 0. 0.         0.88231292 0.87881169 0.        ]
25000,[0.42184101 0.53458555 0.52165492 0.47999696 0.40953201 0. 0.82185978 0.         0.57290779 0.57377812 0.56558747 0. 0.         0.6982858  0.99894611 0.        ]
25500,[0.29350599 0.27933656 0.17641788 0.18395288 0.37613469 0. 0.152756   0.         0.40540111 0.41777539 0.38220196 0. 0.         0.48052595 0.99536874 0.        ]
26000,[0.35152628 0.24666735 0.20836145 0.21238182 0.33802693 0. 0.23339636 0.         0.49332616 0.75458934 0.85433474 0. 0.         0.73517105 0.75888958 0.        ]
26500,[0.35859928 0.45103774 0.55733148 0.45367043 0.32436654 0. 0.46472899 0.         0.33981268 0.67592439 0.58017349 0. 0.         0.69524573 0.9694329  0.        ]
27000,[1.47108361e-01 1.42601320e-01 1.88253081e-01 1.85117686e-01 1.16277073e-01 0.00000000e+00 5.34183898e-04 0.00000000e+00 1.26036959e-01 5.13901551e-02 1.86511515e-02 0.00000000e+00 0.00000000e+00 7.18735398e-01 8.71142549e-01 0.00000000e+00]
27500,[0.37027039 0.29001397 0.15790172 0.17473106 0.43468275 0. 0.06933329 0.         0.56156493 0.80838458 0.85975991 0. 0.         0.88051007 0.82818164 0.        ]
28000,[0.40721015 0.30266468 0.10943056 0.10963738 0.52315691 0. 0.17495956 0.         0.61141886 0.85959003 0.76634124 0. 0.         0.9376568  0.99992164 0.        ]
28500,[0.2744047  0.27703612 0.27040511 0.29433155 0.17244545 0. 0.61719204 0.         0.58141915 0.83328909 0.81542243 0. 0.         0.84572995 0.70917389 0.        ]
29000,[0.33412985 0.18260782 0.19585295 0.28717381 0.3899198  0. 0.0868377  0.         0.37395272 0.49545668 0.41426962 0. 0.         0.86171973 0.99985731 0.        ]
29500,[0.45811109 0.45596767 0.54745187 0.53576303 0.37315472 0. 0.57082208 0.         0.71936865 0.71041887 0.5613604  0. 0.         0.69938133 0.97114577 0.        ]
30000,[0.23798335 0.18827789 0.19855589 0.18918923 0.42066805 0. 0.00082455 0.         0.42222033 0.44023199 0.08972552 0. 0.         0.61715848 0.78037714 0.        ]
30500,[0.27637087 0.27572969 0.29813256 0.2929837  0.28874326 0. 0.03520512 0.         0.61805475 0.57243836 0.66722177 0. 0.         0.66062216 0.97165088 0.        ]
31000,[0.44095901 0.37313147 0.52324224 0.0967293  0.44465609 0. 0.12725824 0.         0.68105984 0.57632186 0.71982258 0. 0.         0.7483286  0.89875847 0.        ]
31500,[0.34212287 0.52984037 0.30615477 0.22550496 0.28290099 0. 0.54036524 0.         0.20781471 0.81296311 0.55117661 0. 0.         0.90433156 0.97692478 0.        ]
32000,[0.49599463 0.20542275 0.55605113 0.19606109 0.33436719 0. 0.0628634  0.         0.58230465 0.63433132 0.09388651 0. 0.         0.80113578 0.93694262 0.        ]
32500,[0.54460697 0.39882844 0.15134229 0.14719098 0.54184784 0. 0.00225619 0.         0.65062167 0.6917155  0.6193401  0. 0.         0.77298827 0.984063   0.        ]
33000,[0.23992161 0.2000348  0.47940848 0.1524826  0.4453629  0. 0.54473198 0.         0.56736387 0.56101063 0.90250444 0. 0.         0.56949089 0.88131787 0.        ]
33500,[0.58116353 0.42709308 0.2931464  0.28026275 0.58250459 0. 0.06687649 0.         0.63948183 0.6768982  0.57180103 0. 0.         0.92797401 0.99931371 0.        ]
34000,[0.44659827 0.39442761 0.31249707 0.27717773 0.43819445 0. 0.00651165 0.         0.49383434 0.78720322 0.34720692 0. 0.         0.82073398 0.98272494 0.        ]
34500,[0.31872003 0.30278585 0.54253885 0.29974493 0.3144204  0. 0.23856473 0.         0.6093567  0.61776364 0.67018925 0. 0.         0.72250573 0.97552047 0.        ]
35000,[0.46710869 0.32694319 0.38400395 0.38859524 0.4276599  0. 0.06127206 0.         0.61929507 0.62785153 0.90532781 0. 0.         0.6165461  0.76732569 0.        ]
35500,[0.36135609 0.33453227 0.46599429 0.32454625 0.40122332 0. 0.05251553 0.         0.42271786 0.59689563 0.57550162 0. 0.         0.71611334 0.71323151 0.        ]
36000,[0.53127028 0.3524938  0.33973266 0.40038546 0.37837368 0. 0.21972552 0.         0.79078911 0.85453045 0.62029796 0. 0.         0.87124284 0.99859454 0.        ]
36500,[0.33399717 0.25093466 0.24560504 0.38495397 0.35068107 0. 0.01913606 0.         0.47995147 0.53688502 0.21958324 0. 0.         0.91491178 0.9491219  0.        ]
37000,[0.16790442 0.16737233 0.49776753 0.18792312 0.30067482 0. 0.05771896 0.         0.3292422  0.65755487 0.63018401 0. 0.         0.84583262 0.82391464 0.        ]
37500,[4.75036350e-01 4.24124838e-01 1.55077836e-01 1.45070245e-01 6.18718700e-01 0.00000000e+00 6.53656916e-04 0.00000000e+00 6.11721682e-01 6.37297817e-01 6.76083583e-01 0.00000000e+00 0.00000000e+00 7.25265055e-01 8.48361718e-01 0.00000000e+00]
38000,[0.2856145  0.42431573 0.27229893 0.25657222 0.27123328 0. 0.28670505 0.         0.47997658 0.56125413 0.45618632 0. 0.         0.68234548 0.76541536 0.        ]
38500,[0.36903485 0.3470484  0.10442935 0.07968214 0.37850267 0. 0.08549945 0.         0.4453687  0.38800225 0.0853498  0. 0.         0.23364899 0.77953254 0.        ]
39000,[0.60757864 0.16475108 0.17271443 0.17811052 0.62339682 0. 0.08295128 0.         0.64985229 0.77991889 0.06693221 0. 0.         0.93477351 0.89894444 0.        ]
39500,[0.39750246 0.38214149 0.40818557 0.42765593 0.42617916 0. 0.77974957 0.         0.70031441 0.68486856 0.75203671 0. 0.         0.89575264 0.86213116 0.        ]
40000,[0.44488329 0.22836142 0.2987359  0.16256625 0.35474034 0. 0.25606979 0.         0.36528074 0.3498575  0.64382573 0. 0.         0.59161722 0.97445977 0.        ]
40017,[0.28099534 0.2323258  0.25566746 0.18917382 0.27272935 0. 0.12222188 0.         0.25617451 0.26644045 0.11808307 0. 0.         0.45841588 0.93060908 0.        ]
