iterations,values
6500,[0.39719125 0.37598138 0.19282928 0.18792582 0.44079953 0. 0.02142247 0.         0.44271028 0.49547398 0.0929311  0. 0.         0.6741263  0.98002159 0.        ]
7000,[0.25410784 0.45651062 0.09934798 0.04742123 0.45726202 0. 0.75316536 0.         0.56824371 0.7103526  0.92220466 0. 0.         0.84369493 0.98798347 0.        ]
7500,[0.09390185 0.02922342 0.44561096 0.03245799 0.02900991 0. 0.10171167 0.         0.59758817 0.84917637 0.82060476 0. 0.         0.49764777 0.99828556 0.        ]
8000,[0.45076015 0.14935026 0.09786599 0.06395584 0.20309837 0. 0.06796177 0.         0.18457143 0.45936652 0.87004776 0. 0.         0.27110267 0.98347378 0.        ]
8500,[0.42280596 0.42304923 0.44103128 0.54308685 0.34928702 0. 0.04565103 0.         0.05896618 0.58056255 0.0800443  0. 0.         0.91080158 0.99930106 0.        ]
9000,[0.09760087 0.09657512 0.04625176 0.02373822 0.45040179 0. 0.02824769 0.         0.74644813 0.74273481 0.91526821 0. 0.         0.45031148 0.99800063 0.        ]
9500,[0.35413629 0.54697414 0.06858591 0.08811541 0.13822574 0. 0.00687793 0.         0.67339852 0.31507511 0.85138402 0. 0.         0.74244281 0.99949503 0.        ]
10000,[0.36284366 0.09817783 0.06618621 0.53285245 0.37180672 0. 0.04436236 0.         0.57513188 0.42670107 0.47689011 0. 0.         0.70103976 0.94851151 0.        ]
10500,[0.12774486 0.04725579 0.00649158 0.00202194 0.44793215 0. 0.00691964 0.         0.20112129 0.1060346  0.83340805 0. 0.         0.4035317  0.98784082 0.        ]
11000,[0.13936384 0.12583193 0.0091374  0.00506785 0.23802258 0. 0.00128282 0.         0.11886489 0.67854946 0.02031241 0. 0.         0.91437678 0.99938985 0.        ]
11500,[0.16742034 0.00399589 0.00412408 0.00428143 0.45060483 0. 0.56418291 0.         0.60473453 0.83279725 0.93513204 0. 0.         0.66493281 0.96646931 0.        ]
12000,[0.06261863 0.15272167 0.49679242 0.07862183 0.09096308 0. 0.80188918 0.         0.30006602 0.41340716 0.9363812  0. 0.         0.32187847 0.99933031 0.        ]
12500,[6.01801940e-02 4.17405539e-02 1.88382461e-02 9.27608040e-03 7.67756206e-02 0.00000000e+00 2.13992633e-07 0.00000000e+00 3.71858361e-01 8.43680483e-02 8.75577174e-03 0.00000000e+00 0.00000000e+00 3.98217993e-01 9.50566665e-01 0.00000000e+00]
13000,[0.29734458 0.07813833 0.03811805 0.01870177 0.16041733 0. 0.01347655 0.         0.11379583 0.73290771 0.85137932 0. 0.         0.93405338 0.99490652 0.        ]
13500,[0.30726728 0.11698861 0.08386583 0.00278804 0.45721347 0. 0.05285395 0.         0.3896694  0.34490966 0.03768903 0. 0.         0.36060637 0.99342455 0.        ]
14000,[0.25730477 0.07858586 0.02676163 0.04441939 0.33329406 0. 0.00129454 0.         0.56411722 0.83765964 0.09803838 0. 0.         0.83210835 0.83427386 0.        ]
14500,[0.5063846  0.27342713 0.19157714 0.01278075 0.69474595 0. 0.01431161 0.         0.21389385 0.56248107 0.88789566 0. 0.         0.60967053 0.99638058 0.        ]
15000,[0.0181904  0.02818151 0.00882916 0.00887363 0.0120312  0. 0.03284826 0.         0.01057781 0.06268064 0.00998457 0. 0.         0.09466451 0.90871911 0.        ]
15500,[0.1677582  0.19180437 0.08052191 0.03035179 0.14732311 0. 0.00713397 0.         0.19236884 0.72101002 0.06835638 0. 0.         0.93057035 0.99052675 0.        ]
16000,[0.2719687  0.6268183  0.13098945 0.11959841 0.23225713 0. 0.00758309 0.         0.35063814 0.57475964 0.59665907 0. 0.         0.82696174 0.99999955 0.        ]
16500,[0.24734746 0.27162834 0.02105981 0.00932158 0.24260213 0. 0.01618899 0.         0.42209938 0.25648722 0.65772052 0. 0.         0.34222314 0.65054268 0.        ]
17000,[0.32747734 0.43048791 0.38023736 0.02073137 0.29863077 0. 0.02705136 0.         0.14262295 0.08749788 0.82948426 0. 0.         0.44906565 0.9922975  0.        ]
17500,[0.45406061 0.06545804 0.07269312 0.03014417 0.3201064  0. 0.00938258 0.         0.56690787 0.69485641 0.0903052  0. 0.         0.73469216 0.97380255 0.        ]
18000,[0.24265912 0.37443939 0.09653888 0.04588388 0.27202389 0. 0.0846733  0.         0.11438158 0.66253892 0.04358375 0. 0.         0.84750636 0.98838096 0.        ]
18500,[0.42691472 0.40814568 0.13266281 0.03561097 0.56545009 0. 0.02800412 0.         0.73080163 0.84073009 0.94413675 0. 0.         0.93511888 0.99549674 0.        ]
19000,[0.03879275 0.1018267  0.01453937 0.00693927 0.1539605  0. 0.00143476 0.         0.59326891 0.85191144 0.00143803 0. 0.         0.94679838 0.99992993 0.        ]
19500,[0.24711055 0.10549839 0.08751969 0.04029463 0.44749804 0. 0.00900446 0.         0.19289714 0.08015399 0.8581745  0. 0.         0.86733445 0.84107908 0.        ]
20000,[0.2824315  0.24736594 0.0621047  0.02298288 0.68179182 0. 0.00982322 0.         0.28320255 0.68295254 0.75278289 0. 0.         0.47619499 0.94964524 0.        ]
20500,[0.10596902 0.075532   0.06158195 0.02763604 0.46418014 0. 0.06285431 0.         0.14901812 0.53328748 0.8830762  0. 0.         0.70158383 0.99614243 0.        ]
21000,[0.24552445 0.12162979 0.05121041 0.01605283 0.64672925 0. 0.0077194  0.         0.24169655 0.5874835  0.42849079 0. 0.         0.90031657 0.99753942 0.        ]
21500,[0.15180512 0.28479307 0.25201592 0.02850339 0.55689458 0. 0.09378484 0.         0.80072942 0.08927838 0.94687431 0. 0.         0.55469319 0.95783311 0.        ]
22000,[0.11031793 0.02226762 0.00679746 0.00269112 0.04343274 0. 0.0037571  0.         0.01272463 0.02588504 0.78899196 0. 0.         0.18383067 0.99218596 0.        ]
22500,[0.04408593 0.01581929 0.05607422 0.01288447 0.0526837  0. 0.77247546 0.         0.0531403  0.51606999 0.58450077 0. 0.         0.59405405 0.69124271 0.        ]
23000,[2.96862057e-01 5.00190552e-02 2.00240754e-02 1.10978209e-02 6.42850540e-01 0.00000000e+00 2.23076323e-04 0.00000000e+00 8.01860419e-01 8.60572430e-01 9.06590006e-02 0.00000000e+00 0.00000000e+00 5.11932175e-01 9.53818512e-01 0.00000000e+00]
23500,[0.17964329 0.06306963 0.05567331 0.00564816 0.41542581 0. 0.46167497 0.         0.29233758 0.70999642 0.91661475 0. 0.         0.75261683 0.99788757 0.        ]
24000,[0.30320724 0.11379917 0.10163184 0.03192949 0.45731748 0. 0.08332002 0.         0.20934485 0.37970979 0.55822136 0. 0.         0.63329554 0.96475877 0.        ]
24500,[0.13476068 0.14536765 0.22067836 0.04132991 0.13686866 0. 0.14490041 0.         0.54746379 0.12921914 0.71972092 0. 0.         0.4581103  0.98326336 0.        ]
25000,[0.11860421 0.09765249 0.0711633  0.02545845 0.13960045 0. 0.00837053 0.         0.62146685 0.57886051 0.13190993 0. 0.         0.19842526 0.9639317  0.        ]
25500,[4.83891322e-01 1.56662506e-03 6.13554318e-04 3.87083722e-04 6.05854572e-01 0.00000000e+00 6.69728082e-04 0.00000000e+00 5.92223516e-01 6.29973333e-01 6.83770064e-01 0.00000000e+00 0.00000000e+00 8.95067550e-01 9.96916451e-01 0.00000000e+00]
26000,[0.18142566 0.1248649  0.18400009 0.01695208 0.39812866 0. 0.148547   0.         0.38974562 0.67807374 0.92238222 0. 0.         0.21826757 0.92260767 0.        ]
26500,[3.28837831e-01 1.12790324e-03 6.21090266e-02 2.73417485e-04 4.33981808e-01 0.00000000e+00 5.73233802e-02 0.00000000e+00 7.33969551e-01 3.26004227e-01 4.63890619e-01 0.00000000e+00 0.00000000e+00 8.39813882e-01 9.94253113e-01 0.00000000e+00]
27000,[0.06145537 0.0113951  0.01180734 0.01284659 0.05991817 0. 0.06433097 0.         0.05356554 0.67779333 0.00752265 0. 0.         0.33569337 0.93781089 0.        ]
27500,[0.20376847 0.10503033 0.06024748 0.01736936 0.18711128 0. 0.0952676  0.         0.13741233 0.63405548 0.85071981 0. 0.         0.91970425 0.99382971 0.        ]
28000,[0.17052397 0.09553703 0.10144938 0.06775699 0.42637476 0. 0.07290202 0.         0.712229   0.47913488 0.58948246 0. 0.         0.52967192 0.95949358 0.        ]
28500,[0.34253033 0.04680302 0.02301689 0.00497614 0.35121958 0. 0.00535018 0.         0.39725453 0.42371895 0.38868273 0. 0.         0.70679658 0.17010673 0.        ]
29000,[0.08450208 0.09100014 0.02381124 0.00347861 0.04719833 0. 0.00143505 0.         0.03382628 0.01015444 0.00946402 0. 0.         0.56288416 0.72848282 0.        ]
29500,[3.47393350e-02 4.16564379e-02 4.88086716e-02 3.60735600e-02 5.08571845e-01 0.00000000e+00 9.48806008e-04 0.00000000e+00 1.21435766e-01 7.47395645e-01 2.67622000e-02 0.00000000e+00 0.00000000e+00 7.32201011e-01 9.76534040e-01 0.00000000e+00]
30000,[0.46873379 0.04066337 0.00401307 0.00211758 0.66133952 0. 0.00167647 0.         0.53787998 0.84503583 0.89965716 0. 0.         0.48962588 0.99440959 0.        ]
30500,[0.02370599 0.03770825 0.25537918 0.01358022 0.01674391 0. 0.14809225 0.         0.02028783 0.06491972 0.79180051 0. 0.         0.00798231 0.99106524 0.        ]
31000,[0.36581049 0.25157107 0.05908846 0.01702594 0.48995545 0. 0.00191334 0.         0.20732659 0.04222039 0.01911788 0. 0.         0.88823226 0.99703211 0.        ]
31500,[9.74494327e-02 1.12260004e-01 2.91749647e-02 4.83403182e-02 9.49931221e-02 0.00000000e+00 3.16548662e-05 0.00000000e+00 3.16393581e-01 4.22347616e-01 4.04322868e-02 0.00000000e+00 0.00000000e+00 7.11368582e-01 9.78343276e-01 0.00000000e+00]
32000,[0.26381054 0.04596868 0.01787361 0.04699813 0.60760656 0. 0.02638497 0.         0.82042899 0.35171721 0.71259218 0. 0.         0.88436451 0.97973673 0.        ]
32500,[0.34932555 0.30213627 0.02561571 0.01162582 0.515302   0. 0.00899321 0.         0.52289616 0.5902547  0.21590445 0. 0.         0.84367345 0.99940147 0.        ]
33000,[0.00456054 0.00427375 0.00241381 0.00199831 0.00370462 0. 0.06323756 0.         0.05768472 0.00671735 0.58172986 0. 0.         0.38279005 0.98649635 0.        ]
33500,[0.06571447 0.05387733 0.00710693 0.00402356 0.06696247 0. 0.01320367 0.         0.07836807 0.60907895 0.07026179 0. 0.         0.01234603 0.99871121 0.        ]
34000,[0.01840699 0.00937334 0.00738472 0.00741439 0.03101044 0. 0.00066996 0.         0.0538558  0.01761469 0.009361   0. 0.         0.06590165 0.56884661 0.        ]
34500,[0.01905817 0.00973479 0.01459987 0.0036124  0.11077669 0. 0.00399579 0.         0.62061949 0.29224875 0.03864983 0. 0.         0.18740708 0.91812042 0.        ]
35000,[0.45070899 0.05599035 0.03100487 0.01515381 0.47639231 0. 0.00886242 0.         0.44749791 0.8259477  0.08596553 0. 0.         0.6248628  0.86897252 0.        ]
35500,[0.14953356 0.01744332 0.00256691 0.00190037 0.11324779 0. 0.00691528 0.         0.20874752 0.57849672 0.12408749 0. 0.         0.37072752 0.93690857 0.        ]
36000,[0.09101039 0.02509559 0.00203464 0.00115751 0.14177645 0. 0.5614364  0.         0.47903259 0.61229258 0.83834275 0. 0.         0.89026997 0.99649318 0.        ]
36500,[0.1684325  0.049787   0.02145051 0.02602192 0.17828354 0. 0.0581306  0.         0.68132256 0.87674644 0.03584733 0. 0.         0.93981787 0.99994871 0.        ]
37000,[1.16616108e-01 4.49564936e-02 1.43230703e-02 4.58392879e-03 1.52466085e-01 0.00000000e+00 3.45299510e-04 0.00000000e+00 4.75093429e-01 7.77691188e-01 8.05071046e-02 0.00000000e+00 0.00000000e+00 9.36355860e-01 7.63075847e-01 0.00000000e+00]
37500,[0.02885856 0.02769745 0.02261008 0.01055825 0.39515336 0. 0.01619134 0.         0.16543399 0.036174   0.75784305 0. 0.         0.6080341  0.98834027 0.        ]
38000,[0.19200374 0.14590743 0.09001125 0.0175448  0.40350387 0. 0.01694177 0.         0.79117867 0.89140084 0.9490397  0. 0.         0.94524931 0.99549916 0.        ]
38500,[0.12631648 0.07990418 0.01717992 0.0171038  0.12583793 0. 0.00843809 0.         0.15523529 0.35505394 0.12702604 0. 0.         0.44866208 0.34022811 0.        ]
39000,[0.27487602 0.09556809 0.06492015 0.03715405 0.60386675 0. 0.06694675 0.         0.18950971 0.71437642 0.01673207 0. 0.         0.67080526 0.96888034 0.        ]
39500,[0.03974571 0.05493684 0.03235083 0.014886   0.2623557  0. 0.00205766 0.         0.03026421 0.57045856 0.05770479 0. 0.         0.74512261 0.99624995 0.        ]
40000,[0.01359659 0.01419348 0.00982154 0.01195849 0.00990721 0. 0.07587864 0.         0.00618453 0.00335843 0.01442114 0. 0.         0.65461113 0.89646012 0.        ]
40500,[0.47485112 0.23407049 0.07766359 0.00753994 0.24006492 0. 0.02598116 0.         0.54352242 0.31277865 0.35024238 0. 0.         0.37724566 0.93817426 0.        ]
41000,[5.76646670e-01 5.94858695e-02 3.55971625e-02 3.73841958e-02 2.13591588e-01 0.00000000e+00 6.25722450e-06 0.00000000e+00 9.27047012e-02 6.10707492e-01 3.93030451e-03 0.00000000e+00 0.00000000e+00 9.14127696e-01 9.94932303e-01 0.00000000e+00]
41500,[0.06952563 0.08504029 0.07822467 0.02554987 0.06712749 0. 0.00190984 0.         0.51039029 0.71120646 0.02089986 0. 0.         0.83536861 0.98870639 0.        ]
41662,[0.03478669 0.0157271  0.69020559 0.07948658 0.08723936 0. 0.80533103 0.         0.49385657 0.80626729 0.77286107 0. 0.         0.93162672 0.9999991  0.        ]
