iterations,values
8500,[3.70581480e-01 1.68141481e-01 9.55110173e-02 2.73067437e-02 3.63582136e-01 0.00000000e+00 7.71403005e-04 0.00000000e+00 2.81821443e-01 4.60780715e-01 5.05366369e-02 0.00000000e+00 0.00000000e+00 7.84412751e-01 5.27445223e-01 0.00000000e+00]
9000,[0.13203392 0.0334142  0.01130216 0.01556478 0.04339852 0. 0.0780448  0.         0.07450212 0.05898704 0.58682412 0. 0.         0.27652388 0.92909031 0.        ]
9500,[0.16278719 0.12198336 0.14287688 0.04153165 0.53870064 0. 0.24383486 0.         0.6094511  0.7714778  0.88079621 0. 0.         0.69750351 0.99995046 0.        ]
10000,[0.21267411 0.06357496 0.02018746 0.00690786 0.45496335 0. 0.00222661 0.         0.69844241 0.64272679 0.18835599 0. 0.         0.90305697 0.99847348 0.        ]
10500,[0.26463172 0.12456412 0.00603687 0.00159911 0.30715619 0. 0.00314747 0.         0.53683866 0.11557819 0.71181433 0. 0.         0.80485655 0.98321014 0.        ]
11000,[0.19158054 0.03481404 0.0344324  0.01685744 0.23488063 0. 0.03737529 0.         0.09202434 0.76354424 0.08476877 0. 0.         0.36840052 0.94764103 0.        ]
11500,[1.85448903e-01 1.83971781e-02 1.35948633e-02 8.11486586e-03 1.44624972e-01 0.00000000e+00 4.77637835e-05 0.00000000e+00 2.66982693e-01 3.44743870e-01 8.43123455e-01 0.00000000e+00 0.00000000e+00 4.29538283e-01 9.45523217e-01 0.00000000e+00]
12000,[0.16461528 0.14431334 0.16632452 0.00611858 0.19786934 0. 0.00171381 0.         0.08828376 0.04546599 0.78172466 0. 0.         0.42425728 0.99118114 0.        ]
12500,[0.16385297 0.06594684 0.03308233 0.01673068 0.12777178 0. 0.01048775 0.         0.55794072 0.78183252 0.86704008 0. 0.         0.94932923 0.99549476 0.        ]
13000,[0.26405332 0.11639747 0.0638794  0.02318667 0.20805331 0. 0.10471026 0.         0.3371814  0.57408063 0.91239844 0. 0.         0.83554561 0.990624   0.        ]
13500,[0.22765709 0.27007833 0.12861199 0.02658122 0.49609437 0. 0.00671306 0.         0.76817449 0.56171524 0.06168744 0. 0.         0.93949281 0.99933369 0.        ]
14000,[0.14198363 0.1063345  0.06766028 0.04147251 0.20694712 0. 0.08307836 0.         0.53943215 0.71454017 0.0814098  0. 0.         0.92529853 0.99900635 0.        ]
14500,[0.47012981 0.03296565 0.01980848 0.00751663 0.24204555 0. 0.05147123 0.         0.4245712  0.64408318 0.49665456 0. 0.         0.90523122 0.99344608 0.        ]
15000,[0.16844236 0.46347845 0.108876   0.0458926  0.13476235 0. 0.0079975  0.         0.11527387 0.74378805 0.07764392 0. 0.         0.12758683 0.68256165 0.        ]
15500,[0.27902869 0.37291151 0.28478083 0.01325173 0.5349352  0. 0.01509437 0.         0.29320606 0.05382969 0.13464209 0. 0.         0.59555775 0.96270623 0.        ]
16000,[0.33496567 0.13026094 0.16381746 0.04337452 0.35835538 0. 0.00768783 0.         0.56075173 0.48297337 0.08939509 0. 0.         0.8813475  0.58986042 0.        ]
16500,[0.39331552 0.13803497 0.02888702 0.01723853 0.35930924 0. 0.0313166  0.         0.32651365 0.48486486 0.77598261 0. 0.         0.88913894 0.99782563 0.        ]
17000,[8.84297834e-02 1.52554660e-01 6.58413153e-03 1.81487035e-03 9.00766230e-02 0.00000000e+00 4.15836929e-04 0.00000000e+00 1.05829623e-01 6.61607975e-01 7.64158246e-01 0.00000000e+00 0.00000000e+00 6.68745789e-01 9.70636632e-01 0.00000000e+00]
17500,[0.70488395 0.39006422 0.13016522 0.02927584 0.71551169 0. 0.0054638  0.         0.84111544 0.19006749 0.05247776 0. 0.         0.94985083 0.99549913 0.        ]
18000,[0.35315294 0.12751458 0.03605686 0.01732711 0.53302966 0. 0.00309549 0.         0.5816107  0.61345806 0.10007912 0. 0.         0.81213407 0.97979601 0.        ]
18500,[0.22763771 0.05582401 0.06858352 0.03305716 0.59908287 0. 0.0090585  0.         0.4070783  0.7809338  0.93781946 0. 0.         0.82913004 0.99954683 0.        ]
19000,[0.16119228 0.41928647 0.05764523 0.02825341 0.24981734 0. 0.00444766 0.         0.17440733 0.73629966 0.91370484 0. 0.         0.67194902 0.99702942 0.        ]
19500,[0.10995279 0.21981225 0.12591244 0.04149324 0.10919998 0. 0.06452493 0.         0.4659797  0.66771111 0.9219615  0. 0.         0.48209804 0.99938511 0.        ]
20000,[0.07901895 0.00449734 0.01385315 0.00458827 0.33509057 0. 0.00156256 0.         0.19543303 0.49800346 0.83568958 0. 0.         0.83718531 0.98733219 0.        ]
20500,[1.30422160e-01 8.50300203e-02 5.62551843e-02 4.46098673e-02 1.40091457e-01 0.00000000e+00 1.06928706e-06 0.00000000e+00 4.74332256e-01 6.09812394e-02 8.54095767e-01 0.00000000e+00 0.00000000e+00 8.95791131e-01 9.99795284e-01 0.00000000e+00]
21000,[2.03672931e-02 1.52451413e-02 6.53023746e-03 4.58578208e-03 4.65344262e-03 0.00000000e+00 8.85706339e-06 0.00000000e+00 2.73640123e-03 8.77000107e-04 2.19268473e-04 0.00000000e+00 0.00000000e+00 5.68552912e-01 6.40790309e-01 0.00000000e+00]
21500,[0.28034699 0.08011528 0.04078529 0.02188722 0.32500748 0. 0.04496759 0.         0.19798688 0.7817897  0.53391005 0. 0.         0.81546325 0.99987119 0.        ]
22000,[0.39308592 0.11694036 0.00945354 0.00941137 0.37926438 0. 0.01288727 0.         0.58774673 0.62225737 0.39994338 0. 0.         0.90705951 0.94532179 0.        ]
22500,[0.24936407 0.21236997 0.11215064 0.06756581 0.19397319 0. 0.00949454 0.         0.54942837 0.60334231 0.09093138 0. 0.         0.89798688 0.99789478 0.        ]
23000,[0.0731439  0.06140418 0.01682202 0.01003537 0.07898375 0. 0.00699985 0.         0.32577128 0.60556747 0.12632874 0. 0.         0.690187   0.68261231 0.        ]
23500,[0.38134902 0.26878034 0.1008838  0.00952873 0.40377941 0. 0.01529756 0.         0.14018147 0.81170395 0.94056391 0. 0.         0.77650288 0.99549799 0.        ]
24000,[0.06986429 0.13143617 0.13858065 0.01688291 0.06584871 0. 0.00713968 0.         0.43158424 0.04771491 0.06124206 0. 0.         0.73534804 0.14297271 0.        ]
24500,[0.25489369 0.23134716 0.13323462 0.00826804 0.49812666 0. 0.00434984 0.         0.67136079 0.75419188 0.11692743 0. 0.         0.59994918 0.96763156 0.        ]
25000,[0.18557038 0.05659776 0.02247934 0.0052877  0.42563981 0. 0.00194501 0.         0.3739683  0.49724888 0.0798829  0. 0.         0.72268073 0.99097093 0.        ]
25500,[0.52280952 0.08087691 0.00794861 0.00319252 0.56128702 0. 0.01445436 0.         0.64348768 0.67529832 0.19399807 0. 0.         0.57561277 0.9992095  0.        ]
26000,[0.2109362  0.10763887 0.08105065 0.01253079 0.31672864 0. 0.02566108 0.         0.37724063 0.17972559 0.84835771 0. 0.         0.57414162 0.99757926 0.        ]
26500,[4.90227625e-02 4.45286521e-04 2.94732915e-04 2.50649754e-04 3.70559525e-01 0.00000000e+00 2.93194838e-05 0.00000000e+00 4.43615800e-01 5.66354646e-02 4.99055077e-03 0.00000000e+00 0.00000000e+00 1.51044014e-01 4.28489862e-01 0.00000000e+00]
27000,[0.185501   0.08032727 0.02674258 0.00809929 0.20225141 0. 0.01476345 0.         0.29234808 0.65258898 0.68291126 0. 0.         0.72621059 0.98990351 0.        ]
27500,[3.85800217e-01 1.19401483e-01 1.45669315e-01 7.18507338e-04 4.00583329e-01 0.00000000e+00 5.86226051e-01 0.00000000e+00 7.10433755e-01 7.27301074e-01 8.08909749e-01 0.00000000e+00 0.00000000e+00 5.11635277e-01 9.85336202e-01 0.00000000e+00]
28000,[0.04866771 0.04382051 0.01591851 0.01604474 0.03391894 0. 0.0489971  0.         0.03313653 0.57000989 0.0855694  0. 0.         0.90416735 0.83073738 0.        ]
28500,[0.12344709 0.32043967 0.0775837  0.01404276 0.06120719 0. 0.03725923 0.         0.3811643  0.04392158 0.05092814 0. 0.         0.71180638 0.97161573 0.        ]
29000,[0.08779773 0.08431811 0.01544533 0.00200384 0.18192561 0. 0.01026598 0.         0.26677874 0.64260703 0.12537781 0. 0.         0.74981207 0.9803723  0.        ]
29500,[0.32179766 0.0812495  0.07062696 0.01163286 0.155693   0. 0.04756551 0.         0.03161206 0.008433   0.82047372 0. 0.         0.10439362 0.42131394 0.        ]
30000,[0.10048203 0.00699393 0.00336976 0.00260193 0.09985037 0. 0.00171946 0.         0.19400769 0.0882966  0.02249976 0. 0.         0.69460716 0.97517829 0.        ]
30500,[0.02272274 0.01368022 0.01695979 0.01893491 0.00815179 0. 0.08020391 0.         0.00113003 0.65756321 0.07690139 0. 0.         0.66348234 0.759484   0.        ]
31000,[2.07416711e-01 1.12931488e-01 1.05968339e-02 2.23362545e-03 5.71276168e-01 0.00000000e+00 1.21117549e-05 0.00000000e+00 6.37468253e-01 5.58436594e-01 8.94013140e-01 0.00000000e+00 0.00000000e+00 6.07524911e-01 9.97754037e-01 0.00000000e+00]
31500,[0.09141799 0.53263748 0.3675947  0.04029997 0.26678895 0. 0.0128586  0.         0.66096529 0.5179627  0.16131698 0. 0.         0.75628253 0.9873623  0.        ]
32000,[0.3295388  0.14671365 0.11147685 0.03135063 0.16676288 0. 0.02371388 0.         0.0417327  0.29699128 0.00248213 0. 0.         0.61708856 0.96833682 0.        ]
32500,[0.1127234  0.14580361 0.04630455 0.00148951 0.28986766 0. 0.01183358 0.         0.50332731 0.85659713 0.60899368 0. 0.         0.94481553 0.99954024 0.        ]
33000,[3.45823959e-01 2.14479750e-01 1.08008261e-02 7.71243541e-03 2.84974202e-01 0.00000000e+00 1.28162710e-04 0.00000000e+00 3.11218908e-01 3.59817952e-01 1.13549769e-01 0.00000000e+00 0.00000000e+00 7.96322735e-01 9.83877179e-01 0.00000000e+00]
33500,[0.38866484 0.16739026 0.06810482 0.01719308 0.28766126 0. 0.01056286 0.         0.62192858 0.52954832 0.87861346 0. 0.         0.29065409 0.93105772 0.        ]
34000,[0.11540568 0.08582337 0.03104273 0.02564755 0.57615082 0. 0.00146447 0.         0.1758843  0.02475588 0.01326794 0. 0.         0.62989974 0.74783327 0.        ]
34500,[0.37803354 0.03474757 0.00911534 0.00442757 0.18613825 0. 0.00412631 0.         0.67922731 0.72892469 0.93261014 0. 0.         0.57749619 0.99993434 0.        ]
35000,[0.10078476 0.21667118 0.21486723 0.0194677  0.51631036 0. 0.03705449 0.         0.5903379  0.25573344 0.70555307 0. 0.         0.49066414 0.96995329 0.        ]
35500,[4.35579840e-01 1.35867570e-01 6.61646714e-03 4.91719399e-03 4.93280565e-01 0.00000000e+00 8.19164932e-04 0.00000000e+00 2.02766981e-01 6.45261023e-01 2.08001676e-02 0.00000000e+00 0.00000000e+00 9.22862718e-01 9.99354770e-01 0.00000000e+00]
36000,[2.44803358e-02 3.17728542e-02 3.28912334e-02 1.75939475e-02 2.41962777e-02 0.00000000e+00 3.42386412e-06 0.00000000e+00 5.41708364e-01 1.42701517e-01 9.24743127e-03 0.00000000e+00 0.00000000e+00 6.12843418e-01 8.59910166e-01 0.00000000e+00]
36500,[2.96205535e-01 6.50564688e-02 1.35076594e-02 1.64729750e-03 4.00183801e-01 0.00000000e+00 1.54656819e-04 0.00000000e+00 5.95345190e-01 4.16301823e-01 1.74444158e-01 0.00000000e+00 0.00000000e+00 6.33494863e-01 9.68654370e-01 0.00000000e+00]
37000,[0.62382496 0.10983167 0.01632693 0.00443022 0.63319831 0. 0.12396654 0.         0.69562402 0.87608661 0.9450541  0. 0.         0.70360383 0.9995395  0.        ]
37500,[0.23804811 0.02845049 0.41226408 0.09498111 0.38947239 0. 0.04763899 0.         0.613465   0.83399253 0.91688755 0. 0.         0.64471246 0.99238918 0.        ]
38000,[0.17989231 0.22939344 0.24455882 0.01367638 0.11279633 0. 0.00116885 0.         0.02520535 0.75534682 0.01067306 0. 0.         0.81972738 0.98301428 0.        ]
38500,[0.12387297 0.12164352 0.08751052 0.01071701 0.32312215 0. 0.00159176 0.         0.47554347 0.53415069 0.79656092 0. 0.         0.68219923 0.98681822 0.        ]
39000,[0.15858015 0.03103464 0.02293603 0.00706106 0.22079604 0. 0.01993513 0.         0.44163621 0.2082929  0.26601813 0. 0.         0.56806093 0.96426588 0.        ]
39500,[0.08699661 0.41181203 0.19648987 0.02136625 0.05982596 0. 0.00675192 0.         0.03121808 0.07049543 0.57255086 0. 0.         0.18072921 0.91800901 0.        ]
40000,[0.09358398 0.07172969 0.01728256 0.00880698 0.08728761 0. 0.08723811 0.         0.12617833 0.40117536 0.15851296 0. 0.         0.21750963 0.91841455 0.        ]
40500,[0.35354549 0.1944744  0.04972906 0.00288669 0.1916213  0. 0.40296799 0.         0.55766326 0.75379645 0.90962347 0. 0.         0.58800115 0.96129969 0.        ]
41000,[0.05328761 0.04573087 0.06941951 0.03069356 0.17708711 0. 0.00727675 0.         0.10756045 0.40880843 0.88689348 0. 0.         0.68837002 0.99039874 0.        ]
41105,[0.19262123 0.18635017 0.12244796 0.04267602 0.37847261 0. 0.16545285 0.         0.6214874  0.18997188 0.15575279 0. 0.         0.91745113 0.98935405 0.        ]
